Date,Cotton
2015-02-02,59.91
2015-02-03,61.4
2015-02-04,61.13
2015-02-05,61.76
2015-02-06,61.61
2015-02-07,61.88
2015-02-08,62.11
2015-02-09,62.37
2015-02-10,62.41
2015-02-11,62.22
2015-02-12,62.55
2015-02-13,62.77
2015-02-14,63.01
2015-02-15,63.24
2015-02-16,63.48
2015-02-17,63.65
2015-02-18,64.72
2015-02-19,64.56
2015-02-20,64.68
2015-02-21,64.55
2015-02-22,64.44
2015-02-23,64.29
2015-02-24,64.68
2015-02-25,65.34
2015-02-26,65.24
2015-02-27,64.86
2015-02-28,64.8
2015-03-01,64.72
2015-03-02,64.72
2015-03-03,63.56
2015-03-04,63.38
2015-03-05,63.15
2015-03-06,62.79
2015-03-07,62.55
2015-03-08,62.3
2015-03-09,62.13
2015-03-10,60.88
2015-03-11,60.42
2015-03-12,60.94
2015-03-13,60.49
2015-03-14,60.51
2015-03-15,60.5
2015-03-16,60.49
2015-03-17,60.22
2015-03-18,62.45
2015-03-19,62.54
2015-03-20,62.53
2015-03-21,62.97
2015-03-22,63.38
2015-03-23,63.83
2015-03-24,63.88
2015-03-25,63.06
2015-03-26,62.99
2015-03-27,63.42
2015-03-28,63.09
2015-03-29,62.81
2015-03-30,62.46
2015-03-31,63.13
2015-04-01,62.64
2015-04-02,63.74
2015-04-03,64.09
2015-04-04,64.48
2015-04-05,64.88
2015-04-06,65.23
2015-04-07,66.16
2015-04-08,66.82
2015-04-09,66.4
2015-04-10,65.03
2015-04-11,65.13
2015-04-12,65.13
2015-04-13,65.16
2015-04-14,64.65
2015-04-15,64.78
2015-04-16,64.22
2015-04-17,63.37
2015-04-18,63.39
2015-04-19,63.35
2015-04-20,63.33
2015-04-21,63.03
2015-04-22,63.09
2015-04-23,65.42
2015-04-24,66.31
2015-04-25,66.2
2015-04-26,66.18
2015-04-27,66.14
2015-04-28,66.15
2015-04-29,67.24
2015-04-30,67.66
2015-05-01,66.39
2015-05-02,66.56
2015-05-03,66.64
2015-05-04,66.75
2015-05-05,66.38
2015-05-06,66.0
2015-05-07,65.6
2015-05-08,66.13
2015-05-09,65.87
2015-05-10,65.67
2015-05-11,65.47
2015-05-12,65.19
2015-05-13,65.74
2015-05-14,66.49
2015-05-15,66.58
2015-05-16,65.98
2015-05-17,65.44
2015-05-18,64.89
2015-05-19,64.4
2015-05-20,64.23
2015-05-21,63.78
2015-05-22,63.33
2015-05-23,63.37
2015-05-24,63.37
2015-05-25,63.37
2015-05-26,63.38
2015-05-27,63.19
2015-05-28,64.5
2015-05-29,64.44
2015-05-30,64.2
2015-05-31,63.98
2015-06-01,63.74
2015-06-02,63.74
2015-06-03,65.25
2015-06-04,65.18
2015-06-05,64.67
2015-06-06,64.77
2015-06-07,64.83
2015-06-08,64.9
2015-06-09,64.79
2015-06-10,64.99
2015-06-11,63.9
2015-06-12,64.39
2015-06-13,64.09
2015-06-14,63.84
2015-06-15,63.49
2015-06-16,64.64
2015-06-17,64.28
2015-06-18,64.28
2015-06-19,63.74
2015-06-20,63.87
2015-06-21,63.94
2015-06-22,64.06
2015-06-23,63.56
2015-06-24,64.57
2015-06-25,65.64
2015-06-26,67.39
2015-06-27,67.24
2015-06-28,67.24
2015-06-29,67.18
2015-06-30,67.89
2015-07-01,67.53
2015-07-02,67.11
2015-07-03,67.11
2015-07-04,66.95
2015-07-05,66.8
2015-07-06,66.7
2015-07-07,65.84
2015-07-08,65.24
2015-07-09,65.86
2015-07-10,65.55
2015-07-11,65.6
2015-07-12,65.63
2015-07-13,65.63
2015-07-14,66.02
2015-07-15,65.04
2015-07-16,65.09
2015-07-17,65.24
2015-07-18,65.13
2015-07-19,65.05
2015-07-20,65.0
2015-07-21,64.39
2015-07-22,64.53
2015-07-23,64.68
2015-07-24,64.77
2015-07-25,64.44
2015-07-26,64.14
2015-07-27,63.78
2015-07-28,64.4
2015-07-29,63.87
2015-07-30,63.53
2015-07-31,64.07
2015-08-01,63.95
2015-08-02,63.88
2015-08-03,63.82
2015-08-04,63.53
2015-08-05,63.45
2015-08-06,62.33
2015-08-07,61.72
2015-08-08,61.79
2015-08-09,61.8
2015-08-10,61.8
2015-08-11,61.83
2015-08-12,64.69
2015-08-13,65.44
2015-08-14,66.12
2015-08-15,66.29
2015-08-16,66.5
2015-08-17,66.73
2015-08-18,66.7
2015-08-19,66.65
2015-08-20,66.97
2015-08-21,66.94
2015-08-22,65.95
2015-08-23,65.03
2015-08-24,64.09
2015-08-25,63.44
2015-08-26,62.45
2015-08-27,63.27
2015-08-28,63.14
2015-08-29,63.02
2015-08-30,62.91
2015-08-31,62.8
2015-09-01,62.63
2015-09-02,62.42
2015-09-03,62.74
2015-09-04,62.6
2015-09-05,62.78
2015-09-06,62.94
2015-09-07,63.1
2015-09-08,63.28
2015-09-09,63.12
2015-09-10,63.06
2015-09-11,63.34
2015-09-12,63.1
2015-09-13,62.91
2015-09-14,62.71
2015-09-15,62.47
2015-09-16,62.62
2015-09-17,62.37
2015-09-18,60.47
2015-09-19,60.58
2015-09-20,60.54
2015-09-21,60.55
2015-09-22,59.9
2015-09-23,59.88
2015-09-24,60.03
2015-09-25,60.49
2015-09-26,60.53
2015-09-27,60.6
2015-09-28,60.67
2015-09-29,60.84
2015-09-30,60.53
2015-10-01,60.49
2015-10-02,60.41
2015-10-03,60.86
2015-10-04,61.28
2015-10-05,61.7
2015-10-06,61.98
2015-10-07,62.38
2015-10-08,61.65
2015-10-09,61.93
2015-10-10,61.91
2015-10-11,61.91
2015-10-12,61.75
2015-10-13,63.85
2015-10-14,63.78
2015-10-15,63.55
2015-10-16,63.87
2015-10-17,63.65
2015-10-18,63.48
2015-10-19,63.24
2015-10-20,63.81
2015-10-21,64.24
2015-10-22,62.96
2015-10-23,62.69
2015-10-24,62.64
2015-10-25,62.57
2015-10-26,62.49
2015-10-27,62.55
2015-10-28,62.77
2015-10-29,62.42
2015-10-30,63.31
2015-10-31,63.27
2015-11-01,63.3
2015-11-02,63.38
2015-11-03,62.79
2015-11-04,62.03
2015-11-05,62.2
2015-11-06,61.88
2015-11-07,61.92
2015-11-08,61.94
2015-11-09,61.97
2015-11-10,61.9
2015-11-11,62.12
2015-11-12,61.83
2015-11-13,61.42
2015-11-14,61.48
2015-11-15,61.51
2015-11-16,61.54
2015-11-17,61.56
2015-11-18,61.57
2015-11-19,61.83
2015-11-20,60.47
2015-11-21,60.99
2015-11-22,61.37
2015-11-23,61.76
2015-11-24,62.0
2015-11-25,63.34
2015-11-26,63.6
2015-11-27,63.99
2015-11-28,63.55
2015-11-29,63.18
2015-11-30,62.71
2015-12-01,63.56
2015-12-02,63.51
2015-12-03,63.93
2015-12-04,64.7
2015-12-05,64.63
2015-12-06,64.63
2015-12-07,64.63
2015-12-08,64.57
2015-12-09,64.85
2015-12-10,63.76
2015-12-11,63.86
2015-12-12,63.68
2015-12-13,63.52
2015-12-14,63.35
2015-12-15,63.28
2015-12-16,63.38
2015-12-17,63.06
2015-12-18,63.79
2015-12-19,63.55
2015-12-20,63.38
2015-12-21,63.2
2015-12-22,63.15
2015-12-23,62.82
2015-12-24,63.62
2015-12-25,63.59
2015-12-26,63.62
2015-12-27,63.62
2015-12-28,64.03
2015-12-29,63.91
2015-12-30,63.94
2015-12-31,63.31
2016-01-01,63.16
2016-01-02,62.98
2016-01-03,62.79
2016-01-04,62.59
2016-01-05,62.69
2016-01-06,62.13
2016-01-07,61.36
2016-01-08,61.49
2016-01-09,61.47
2016-01-10,61.46
2016-01-11,61.43
2016-01-12,61.6
2016-01-13,62.03
2016-01-14,61.96
2016-01-15,61.37
2016-01-16,61.41
2016-01-17,61.37
2016-01-18,61.89
2016-01-19,62.44
2016-01-20,61.85
2016-01-21,62.15
2016-01-22,62.34
2016-01-23,62.03
2016-01-24,61.75
2016-01-25,61.47
2016-01-26,61.27
2016-01-27,60.88
2016-01-28,61.35
2016-01-29,60.99
2016-01-30,61.24
2016-01-31,61.44
2016-02-01,61.63
2016-02-02,62.14
2016-02-03,61.94
2016-02-04,60.23
2016-02-05,59.97
2016-02-06,59.84
2016-02-07,59.69
2016-02-08,59.6
2016-02-09,58.64
2016-02-10,58.88
2016-02-11,58.42
2016-02-12,58.9
2016-02-13,59.12
2016-02-14,59.36
2016-02-15,59.6
2016-02-16,59.85
2016-02-17,59.87
2016-02-18,59.91
2016-02-19,60.01
2016-02-20,59.24
2016-02-21,58.53
2016-02-22,57.74
2016-02-23,58.17
2016-02-24,57.7
2016-02-25,58.16
2016-02-26,57.92
2016-02-27,57.97
2016-02-28,58.0
2016-02-29,58.01
2016-03-01,58.25
2016-03-02,58.04
2016-03-03,58.42
2016-03-04,58.93
2016-03-05,58.88
2016-03-06,58.87
